id,perc_premium_paid_by_cash_credit,age_in_days,Income,Count_3-6_months_late,Count_6-12_months_late,Count_more_than_12_months_late,application_underwriting_score,no_of_premiums_paid,sourcing_channel,residence_area_type,premium,target,name,age,income,occupation,insurance,Occupation_Type
20289,0.026,30672,150110,0.0,0.0,0.0,99.59,14,A,Urban,9600,1,Adrian Aguirre,26,367614,Software Engineer,Starlite Premium,White Collar
31237,0.0,24462,191580,0.0,0.0,0.0,98.64,12,A,Rural,1200,1,Joshua Haley,32,214448,Teacher,Starlite Premium,White Collar
55384,0.39,10600,39100,0.0,0.0,0.0,98.98,7,A,Rural,1200,1,Leslie Martin,25,467975,Teacher,Starlite Basic,White Collar
9200,0.015,24466,2160060,0.0,0.0,0.0,99.82,12,B,Rural,60000,1,Jeremy Woods,28,496574,Software Engineer,MaxBupa Gold,White Collar
92194,0.021,30667,226440,0.0,0.0,0.0,99.88,11,A,Rural,9600,1,Stephen Gibson,22,151984,Farmer,Starlite Premium,Blue Collar
80987,0.002,30301,120090,1.0,0.0,0.0,99.88,28,A,Urban,5400,1,Daniel Beck,21,49022,Student,MaxBupa Gold,White Collar
27557,0.721,16799,264580,0.0,0.0,0.0,96.97,23,C,Urban,11700,0,Brian Anderson,38,434248,Software Engineer,Starlite Basic,White Collar
32906,0.821,10228,99450,0.0,0.0,0.0,99.51,8,A,Urban,7500,1,Sandra Parks,20,40607,Student,Starlite Premium,White Collar
30436,0.528,31769,202540,0.0,0.0,0.0,98.65,14,A,Urban,13800,1,Eric Huber,27,106916,Farmer,MaxBupa Silver,Blue Collar
10324,0.007,23731,1011090,1.0,0.0,0.0,99.36,13,B,Urban,49500,1,Angel Brown,25,336372,Construction Worker,MaxBupa Gold,Blue Collar
16345,0.904,10961,180070,3.0,0.0,0.0,99.58,9,B,Rural,13800,1,Edward Hoover,42,524823,Software Engineer,MaxBupa Silver,White Collar
62416,0.008,16796,270130,0.0,0.0,0.0,99.01,11,E,Rural,28500,1,James Burnett,56,391573,Teacher,Starlite Basic,White Collar
94715,0.0,24460,112640,0.0,0.0,0.0,99.33,9,A,Urban,1200,1,Eric Hunt,21,240940,Construction Worker,MaxBupa Gold,Blue Collar
14647,0.113,30671,322750,0.0,0.0,0.0,99.89,4,A,Urban,24300,1,Christine Snow,35,252472,Construction Worker,Starlite Basic,Blue Collar
30067,0.022,30670,90100,0.0,0.0,0.0,99.87,16,A,Urban,7500,1,Jeanne Howell,56,154492,Shopkeeper,Starlite Basic,Other
72468,0.082,10233,132540,1.0,0.0,0.0,99.88,11,A,Urban,11700,1,Mary Townsend,64,139360,Farmer,Starlite Basic,Blue Collar
